LINK_ID	GEOMETRY
48	LINESTRING (982969.97074666 -4306999.38066399,982995.93411935 -4306999.45427755,982999.9141727 -4306998.64164168,983002.20652647 -4306997.23077152,983003.23105707 -4306995.49436137,983004.05539767 -4306993.01148365,983004.58034431 -4306990.19934094,983004.98919986 -4306986.79393544,983005.06067125 -4306982.78683532,983004.64736696 -4306977.53715669)
49	LINESTRING (983004.64736696 -4306977.53715669,983005.06067125 -4306982.78683532,983004.98919986 -4306986.79393544,983004.58034431 -4306990.19934094,983004.05539767 -4306993.01148365,983003.23105707 -4306995.49436137,983002.20652647 -4306997.23077152,982999.9141727 -4306998.64164168,982995.93411935 -4306999.45427755,982969.97074666 -4306999.38066399)
50	LINESTRING (981322.54567925 -4306624.32488666)
51	LINESTRING (981322.54567925 -4306624.32488666)
54	LINESTRING (984091.82859232 -4307947.03708551)
55	LINESTRING (984091.82859232 -4307947.03708551)
58	LINESTRING (980669.28340583 -4315193.14721512,980653.43622153 -4315217.64650533,980644.96126913 -4315237.16985321,980637.03476445 -4315263.22334544,980608.59410005 -4315389.17884806,980603.6705002 -4315410.99065316,980599.62100523 -4315427.94587251,980559.56565423 -4315588.936584,980553.2305112 -4315614.76137551,980535.72136927 -4315686.16721345,980530.5930544 -4315707.08643125,980460.62969362 -4315995.10693,980443.12388384 -4316065.48236709,980430.02004152 -4316119.72975508,980418.74485913 -4316165.25775395)
59	LINESTRING (980418.74485913 -4316165.25775395,980430.02004152 -4316119.72975508,980443.12388384 -4316065.48236709,980460.62969362 -4315995.10693,980530.5930544 -4315707.08643125,980535.72136927 -4315686.16721345,980553.2305112 -4315614.76137551,980559.56565423 -4315588.936584,980599.62100523 -4315427.94587251,980603.6705002 -4315410.99065316,980608.59410005 -4315389.17884806,980637.03476445 -4315263.22334544,980644.96126913 -4315237.16985321,980653.43622153 -4315217.64650533,980669.28340583 -4315193.14721512)
60	LINESTRING (985739.8392655 -4301125.18741714,985742.2181909 -4301105.73899095,985744.70289584 -4301088.59776972,985747.23140175 -4301074.06087035)
61	LINESTRING (985747.23140175 -4301074.06087035,985744.70289584 -4301088.59776972,985742.2181909 -4301105.73899095,985739.8392655 -4301125.18741714)
62	LINESTRING (980379.80000693 -4301261.17379909)
63	LINESTRING (980379.80000693 -4301261.17379909)
64	LINESTRING (984146.37299782 -4300347.35147446,984133.52308501 -4300405.58079128,984126.67468581 -4300437.06208037,984111.00717341 -4300506.20489367,984086.4138808 -4300610.31001557,984069.90877314 -4300681.082553)
65	LINESTRING (984069.90877314 -4300681.082553,984086.4138808 -4300610.31001557,984111.00717341 -4300506.20489367,984126.67468581 -4300437.06208037,984133.52308501 -4300405.58079128,984146.37299782 -4300347.35147446)
66	LINESTRING (976248.6072161 -4302143.489859,976244.94941729 -4302145.7791448,976240.78323631 -4302147.78825663,976235.13108603 -4302149.01633982,976229.68076316 -4302149.36552557)
67	LINESTRING (976229.68076316 -4302149.36552557,976235.13108603 -4302149.01633982,976240.78323631 -4302147.78825663,976244.94941729 -4302145.7791448,976248.6072161 -4302143.489859)
68	LINESTRING (984680.99847222 -4312539.90560755)
69	LINESTRING (984680.99847222 -4312539.90560755)
72	LINESTRING (980258.96301977 -4303309.83535288,980312.67557772 -4303344.78594089,980362.59960907 -4303374.05476968,980415.82490356 -4303401.85617779,980480.86596433 -4303433.06881015,980534.87999802 -4303456.87171498,980601.6487227 -4303482.71188496,980669.70563334 -4303505.43825123)
73	LINESTRING (980669.70563334 -4303505.43825123,980601.6487227 -4303482.71188496,980534.87999802 -4303456.87171498,980480.86596433 -4303433.06881015,980415.82490356 -4303401.85617779,980362.59960907 -4303374.05476968,980312.67557772 -4303344.78594089,980258.96301977 -4303309.83535288)
78	LINESTRING (980501.16096581 -4301724.78273011,980497.58185061 -4301740.32621345,980469.15155603 -4301858.37062561,980456.6497915 -4301920.0217651,980453.88607698 -4301942.01526911,980453.05815088 -4301956.69266976,980452.54000126 -4301975.60076125,980451.27361061 -4302020.23394827)
79	LINESTRING (980451.27361061 -4302020.23394827,980452.54000126 -4301975.60076125,980453.05815088 -4301956.69266976,980453.88607698 -4301942.01526911,980456.6497915 -4301920.0217651,980469.15155603 -4301858.37062561,980497.58185061 -4301740.32621345,980501.16096581 -4301724.78273011)
80	LINESTRING (976079.91618876 -4298767.26356022,976071.57390011 -4298746.94972096,976064.71418744 -4298728.77257605,976061.01668634 -4298716.2646376)
81	LINESTRING (976061.01668634 -4298716.2646376,976064.71418744 -4298728.77257605,976071.57390011 -4298746.94972096,976079.91618876 -4298767.26356022)
82	LINESTRING (981461.37195722 -4311857.46301464,981457.35695056 -4311870.50594615,981452.26334007 -4311885.00057579)
83	LINESTRING (981452.26334007 -4311885.00057579,981457.35695056 -4311870.50594615,981461.37195722 -4311857.46301464)
86	LINESTRING (986060.23666178 -4306905.5822802)
87	LINESTRING (986060.23666178 -4306905.5822802)
88	LINESTRING (947519.71124812 -4299883.50113321)
89	LINESTRING (947519.71124812 -4299883.50113321)
90	LINESTRING (957396.69864781 -4294866.64249721,957291.92593709 -4294859.0854143,957232.14490476 -4294855.51473538,957176.66683002 -4294855.53165225,957139.86558182 -4294857.66547804,957105.20099694 -4294861.50773246)
91	LINESTRING (957105.20099694 -4294861.50773246,957139.86558182 -4294857.66547804,957176.66683002 -4294855.53165225,957232.14490476 -4294855.51473538,957291.92593709 -4294859.0854143,957396.69864781 -4294866.64249721)
92	LINESTRING (982154.88214744 -4299701.26735964,982155.08918669 -4299696.92580832)
93	LINESTRING (982155.08918669 -4299696.92580832,982154.88214744 -4299701.26735964)
96	LINESTRING (985520.40334736 -4305838.87443728,985556.29973864 -4305881.29401647,985563.61779149 -4305891.09296125,985568.79274451 -4305900.2191575,985576.07062986 -4305918.35514316,985577.51744146 -4305927.35138572,985579.83249838 -4305936.77241956,985581.88158016 -4305941.59590667,985584.97324258 -4305945.78349007,985588.94546054 -4305948.76022716,985593.66749002 -4305952.09516395)
97	LINESTRING (985593.66749002 -4305952.09516395,985588.94546054 -4305948.76022716,985584.97324258 -4305945.78349007,985581.88158016 -4305941.59590667,985579.83249838 -4305936.77241956,985577.51744146 -4305927.35138572,985576.07062986 -4305918.35514316,985568.79274451 -4305900.2191575,985563.61779149 -4305891.09296125,985556.29973864 -4305881.29401647,985520.40334736 -4305838.87443728)
100	LINESTRING (989101.05672074 -4295121.40539826,989077.01141434 -4295128.99873475,989051.91073249 -4295136.2626287,989024.86014315 -4295142.75867079,988986.69259001 -4295150.87420163,988954.51170763 -4295156.07224926,988919.32550495 -4295160.17301338,988867.84836229 -4295165.08450879,988820.54170362 -4295168.69842571,988792.50146389 -4295170.24306209,988747.63508716 -4295171.62067795)
101	LINESTRING (988747.63508716 -4295171.62067795,988792.50146389 -4295170.24306209,988820.54170362 -4295168.69842571,988867.84836229 -4295165.08450879,988919.32550495 -4295160.17301338,988954.51170763 -4295156.07224926,988986.69259001 -4295150.87420163,989024.86014315 -4295142.75867079,989051.91073249 -4295136.2626287,989077.01141434 -4295128.99873475,989101.05672074 -4295121.40539826)
112	LINESTRING (986836.91576195 -4294638.0967505,986912.98481779 -4294648.90223364)
113	LINESTRING (986912.98481779 -4294648.90223364,986836.91576195 -4294638.0967505)
114	LINESTRING (987065.6805339 -4294802.27336043,987060.49792416 -4294789.57452035,987052.93773313 -4294780.70952922,987042.15217321 -4294773.21594213)
